site_id,gid,fraction_of_usable_area,power_curve,capacity,wind_speed,capacity_factor,the_geom,city,state,country,elevation,lat,lng,region,BA,ann_capacity
24176,24177,0.9983,2,16.0,9.38,0.596,0101000020E610000085CFD6C1C1315DC01AA54BFF92F64040,,California,United States,,33.926361,-116.777451,33,p10,9.536
24048,24049,0.9999,1,16.0,10.66,0.588,0101000020E61000000133DFC14F2D5DC015C616821CF64040,,California,United States,,33.922745,-116.707993,33,p10,9.408
23907,23908,1.0,1,16.0,10.98,0.582,0101000020E6100000B20DDC813A2A5DC047E350BF0BF54040,,California,United States,,33.914421,-116.659821,33,p10,9.312
24049,24050,0.9974,1,16.0,10.59,0.578,0101000020E610000066DCD440F32B5DC020ED7F80B5F64040,,California,United States,,33.927414,-116.686722,33,p10,9.248
23771,23772,0.9913,1,16.0,10.89,0.545,0101000020E6100000FF08C38025275DC0506D7022FAF34040,,California,United States,,33.906071,-116.611664,33,p10,8.72
24313,24314,0.9563,2,16.0,8.85,0.543,0101000020E6100000BB46CB811E325DC00A849D62D5F84040,,California,United States,,33.944012,-116.783112,33,p10,8.688
23770,23771,0.8812,1,16.0,10.64,0.543,0101000020E61000009A5FCD0182285DC039984D8061F34040,,California,United States,,33.901413,-116.632935,33,p10,8.688
24175,24176,1.0,2,16.0,8.71,0.529,0101000020E61000003868AF3E1E335DC0575EF23FF9F54040,,California,United States,,33.921669,-116.798721,33,p10,8.464
23909,23910,1.0,1,16.0,10.51,0.522,0101000020E6100000ACC8E88024265DC004C765DCD4F64040,,California,United States,,33.928371,-116.595978,33,p10,8.352
24045,24046,0.9835,2,16.0,8.69,0.521,0101000020E6100000EA78CC4065315DC0B952CF8250F44040,,California,United States,,33.908707,-116.771805,33,p10,8.336
24180,24181,0.7923,2,14.0,9.84,0.594,0101000020E61000007E54C37E4F2C5DC010CCD1E3F7F84040,,California,United States,,33.945065,-116.692352,33,p10,8.316
24315,24316,0.7577,2,14.0,9.25,0.584,0101000020E61000004F58E201652F5DC0CC43A67C08FA4040,,California,United States,,33.953384,-116.74054,33,p10,8.176
24047,24048,0.8211,1,14.0,10.35,0.582,0101000020E610000037AAD381AC2E5DC0C9AF1F6283F54040,,California,United States,,33.918072,-116.729279,33,p10,8.148
24314,24315,0.7907,2,14.0,9.16,0.581,0101000020E610000085CFD6C1C1305DC08CDB68006FF94040,,California,United States,,33.9487,-116.761826,33,p10,8.134
23633,23634,1.0,1,16.0,10.52,0.505,0101000020E61000004B04AA7F10245DC060E811A3E7F24040,,California,United States,,33.897694,-116.563507,33,p10,8.08
23772,23773,1.0,1,16.0,10.42,0.504,0101000020E6100000931ADA006C245DC04419AA622AF54040,,California,United States,,33.915356,-116.569092,33,p10,8.064
24053,24054,0.9497,1,16.0,10.3,0.501,0101000020E61000008FFF024180265DC0E8F7FD9B17F94040,,California,United States,,33.946033,-116.601578,33,p10,8.016
23908,23909,0.8436,1,14.0,10.97,0.571,0101000020E610000017B7D100DE285DC01DC9E53FA4F54040,,California,United States,,33.919075,-116.63855,33,p10,7.994
24312,24313,1.0,2,16.0,8.44,0.493,0101000020E61000006EDFA3FE7A335DC0F99FFCDD3BF84040,,California,United States,,33.939327,-116.804382,33,p10,7.888
23634,23635,1.0,1,16.0,10.18,0.489,0101000020E6100000B0AD9FFEB3225DC0EE21E17B7FF34040,,California,United States,,33.902328,-116.542236,33,p10,7.824
