site_id,gid,fraction_of_usable_area,power_curve,capacity,wind_speed,capacity_factor,the_geom,city,state,country,elevation,lat,lng,region,BA,ann_capacity
33477,33478,0.9227,2,16.0,9.35,0.533,0101000020E610000025CFF57D38B45DC0A374E95F92644140,,California,United States,,34.785717,-118.815948,31,p10,8.528
33336,33337,0.8806,2,16.0,9.58,0.525,0101000020E6100000F5DBD78173B25DC062BEBC00FB624140,,California,United States,,34.773285,-118.7883,31,p10,8.4
33204,33205,0.909,2,16.0,8.84,0.481,0101000020E6100000761BD47E6BB35DC0D942908312604140,,California,United States,,34.750565,-118.803436,31,p10,7.696
32440,32441,0.9785,2,16.0,8.47,0.472,0101000020E6100000A06EA0C03B9F5DC0AF95D05D125B4140,,California,United States,,34.711498,-118.488022,31,p10,7.552
32181,32182,0.876,2,16.0,8.3,0.471,0101000020E61000008DD5E6FF559A5DC022E17B7F83584140,,California,United States,,34.691513,-118.411499,31,p10,7.536
33337,33338,0.9757,2,16.0,8.79,0.468,0101000020E6100000B404190115B15DC065A9F57EA3634140,,California,United States,,34.778427,-118.766907,31,p10,7.488
31943,31944,1.0,2,16.0,7.79,0.456,0101000020E6100000315C1D0071955DC0309B00C3F2554140,,California,United States,,34.671471,-118.335022,31,p10,7.296
32572,32573,1.0,2,16.0,7.92,0.45,0101000020E61000002C11A8FE419E5DC0156F641EF95D4140,,California,United States,,34.734165,-118.472778,31,p10,7.2
32062,32063,1.0,2,16.0,7.6,0.448,0101000020E610000063B5F97FD5955DC06F4BE48233584140,,California,United States,,34.689072,-118.341156,31,p10,7.168
31810,31811,1.0,2,16.0,7.66,0.447,0101000020E6100000594C6C3EAE935DC021054F2157544140,,California,United States,,34.658909,-118.30751,31,p10,7.152
31564,31565,0.9851,2,16.0,8.36,0.442,0101000020E610000012691B7FA2955DC0FAD2DB9F8B4E4140,,California,United States,,34.613636,-118.338043,31,p10,7.072
31944,31945,1.0,2,16.0,7.4,0.436,0101000020E6100000F1845E7F12945DC05FB532E197564140,,California,United States,,34.67651,-118.313629,31,p10,6.976
32698,32699,1.0,2,16.0,7.73,0.435,0101000020E61000004F58E20165A15DC0DA39CD02ED5E4140,,California,United States,,34.741608,-118.52179,31,p10,6.96
32316,32317,1.0,2,16.0,7.52,0.434,0101000020E6100000514F1F813F955DC0D8D64FFF595D4140,,California,United States,,34.729309,-118.332001,31,p10,6.944
31195,31196,1.0,2,16.0,7.49,0.43,0101000020E6100000E466B8019F8D5DC08881AE7D014B4140,,California,United States,,34.585983,-118.21283,31,p10,6.88
31038,31039,0.9848,2,16.0,7.52,0.429,0101000020E6100000C576F700DD8B5DC01A170E8464494140,,California,United States,,34.57338,-118.185364,31,p10,6.864
32699,32700,1.0,2,16.0,7.62,0.429,0101000020E6100000F1811DFF05A05DC0B5C5353E935F4140,,California,United States,,34.746681,-118.500366,31,p10,6.864
32182,32183,1.0,2,16.0,7.37,0.427,0101000020E6100000B9162D40DB945DC05837DE1D195B4140,,California,United States,,34.711704,-118.325882,31,p10,6.832
31437,31438,0.9135,2,16.0,7.62,0.426,0101000020E6100000D6A9F23D23915DC0950ED6FF394E4140,,California,United States,,34.611145,-118.267776,31,p10,6.816
32063,32064,1.0,2,16.0,7.29,0.425,0101000020E610000088BD50C076945DC09D6516A1D8584140,,California,United States,,34.694111,-118.319748,31,p10,6.8
31811,31812,1.0,2,16.0,7.27,0.425,0101000020E61000007E54C37E4F925DC05BCD3AE3FB544140,,California,United States,,34.663937,-118.286102,31,p10,6.8
32700,32701,1.0,2,16.0,7.53,0.421,0101000020E6100000168A743FA79E5DC0A1BC8FA339604140,,California,United States,,34.751759,-118.478958,31,p10,6.736
31325,31326,0.9628,2,16.0,7.38,0.421,0101000020E61000005EA0A4C0028E5DC0C631923D424D4140,,California,United States,,34.603584,-118.218918,31,p10,6.736
32183,32184,1.0,2,16.0,7.15,0.409,0101000020E6100000DE1E84807C935DC016DEE522BE5B4140,,California,United States,,34.71674,-118.304474,31,p10,6.544
31693,31694,0.7502,2,14.0,8.03,0.467,0101000020E6100000ABD1AB014A935DC0E3546B6116524140,,California,United States,,34.641308,-118.301392,31,p10,6.538
31945,31946,1.0,2,16.0,6.99,0.404,0101000020E6100000158DB5BFB3925DC09A7D1EA33C574140,,California,United States,,34.681538,-118.292221,31,p10,6.464
30196,30197,0.9684,2,16.0,7.23,0.402,0101000020E61000000745F30016835DC041D47D0052414140,,California,United States,,34.510315,-118.048218,31,p10,6.432
32064,32065,1.0,2,16.0,6.97,0.399,0101000020E6100000ACC5A70018935DC049A12C7C7D594140,,California,United States,,34.699142,-118.29834,31,p10,6.384
32180,32181,0.7989,2,14.0,8.36,0.455,0101000020E6100000CDACA580B49B5DC0BE8575E3DD574140,,California,United States,,34.686459,-118.432892,31,p10,6.37
31812,31813,0.9673,2,16.0,6.85,0.393,0101000020E61000003D7D04FEF0905DC0070951BEA0554140,,California,United States,,34.668968,-118.264709,31,p10,6.288
32184,32185,1.0,2,16.0,6.96,0.392,0101000020E61000006806F1811D925DC003098A1F635C4140,,California,United States,,34.721775,-118.283051,31,p10,6.272
33335,33336,0.7052,2,12.0,9.28,0.522,0101000020E61000004DF564FED1B35DC05FD3838252624140,,California,United States,,34.768143,-118.809692,31,p10,6.264
30547,30548,0.8734,2,14.0,7.84,0.443,0101000020E61000005E9D6340F6875DC053EC681CEA434140,,California,United States,,34.530582,-118.124405,31,p10,6.202
32065,32066,1.0,2,16.0,6.72,0.375,0101000020E6100000D1CDFE40B9915DC0C558A65F225A4140,,California,United States,,34.704174,-118.276932,31,p10,6.0
31946,31947,1.0,2,16.0,6.65,0.372,0101000020E61000003A950C0055915DC045B9347EE1574140,,California,United States,,34.686569,-118.270813,31,p10,5.952
33334,33335,0.6802,2,12.0,8.8,0.489,0101000020E61000008ECC237F30B55DC0D9092FC1A9614140,,California,United States,,34.762993,-118.831085,31,p10,5.868
32066,32067,1.0,2,16.0,6.57,0.358,0101000020E6100000F5D555815A905DC0FF209221C75A4140,,California,United States,,34.709202,-118.255524,31,p10,5.728
31039,31040,0.8006,2,14.0,7.2,0.408,0101000020E61000001EC022BF7E8A5DC00D33349E084A4140,,California,United States,,34.578388,-118.163986,31,p10,5.712
31692,31693,0.7075,2,12.0,8.19,0.475,0101000020E610000003EB387EA8945DC0679DF17D71514140,,California,United States,,34.636276,-118.322784,31,p10,5.7
30374,30375,0.865,2,14.0,7.74,0.407,0101000020E61000001AA54BFF92875DC0DFFAB0DEA8414140,,California,United States,,34.512966,-118.118347,31,p10,5.698
29879,29880,0.9357,2,16.0,7.36,0.356,0101000020E6100000BF2B82FFAD835DC0FBEAAA402D3C4140,,California,United States,,34.470131,-118.057495,31,p10,5.696
29883,29884,0.9755,3,16.0,6.37,0.354,0101000020E6100000E42D573F367E5DC07E8D2441B83E4140,,California,United States,,34.489998,-117.972061,31,p10,5.664
31942,31943,0.7022,2,12.0,8.05,0.47,0101000020E61000007233DC80CF965DC032056B9C4D554140,,California,United States,,34.666431,-118.356415,31,p10,5.64
29739,29740,0.9376,3,16.0,6.65,0.351,0101000020E61000000F7BA180ED815DC05182FE428F3A4140,,California,United States,,34.457497,-118.030121,31,p10,5.616
30031,30032,1.0,3,16.0,6.16,0.346,0101000020E610000070067FBF987E5DC0FE2C9622F9404140,,California,United States,,34.507603,-117.978073,31,p10,5.536
31565,31566,0.7178,2,12.0,7.61,0.451,0101000020E61000002D0B26FE28905DC0CC9717601F514140,,California,United States,,34.63377,-118.252502,31,p10,5.412
30028,30029,0.7677,2,14.0,7.15,0.386,0101000020E61000005D6DC5FEB2825DC03F56F0DB103F4140,,California,United States,,34.492702,-118.042175,31,p10,5.404
