site_id,gid,fraction_of_usable_area,power_curve,capacity,wind_speed,capacity_factor,the_geom,city,state,country,elevation,lat,lng,region,BA,ann_capacity
16099,16100,0.9679,3,16.0,8.16,0.476,0101000020E6100000DA03ADC090135DC0A7CEA3E2FF5A4040,,California,United States,,32.710934,-116.30571,32,p11,7.616
16185,16186,0.9892,2,16.0,8.28,0.437,0101000020E6100000A38FF98040155DC06D3997E2AA5C4040,,California,United States,,32.723965,-116.332062,32,p11,6.992
16098,16099,0.9005,2,16.0,8.2,0.432,0101000020E61000001EF98381E7145DC023DBF97E6A5A4040,,California,United States,,32.706375,-116.32663,32,p11,6.912
16188,16189,0.9236,2,16.0,8.68,0.432,0101000020E610000046EC134031095DC0304AD05FE8614040,,California,United States,,32.764904,-116.143631,32,p11,6.912
16097,16098,0.9131,3,16.0,7.92,0.428,0101000020E61000007B30293E3E165DC028B7ED7BD4594040,,California,United States,,32.701797,-116.347549,32,p11,6.848
16189,16190,0.9622,2,16.0,8.65,0.423,0101000020E6100000CCB56801DA075DC03750E09D7C624040,,California,United States,,32.769428,-116.122681,32,p11,6.768
18876,18877,0.9502,3,16.0,7.18,0.414,0101000020E6100000C9552C7E53225DC07E1B62BCE68B4040,,California,United States,,33.092979,-116.536346,32,p11,6.624
15996,15997,1.0,1,16.0,9.37,0.414,0101000020E61000007F4B00FE29075DC0506D7022FA5D4040,,California,United States,,32.734196,-116.111938,32,p11,6.624
15993,15994,0.967,2,16.0,8.06,0.411,0101000020E610000099620E828E145DC0624CFA7B29584040,,California,United States,,32.688766,-116.321198,32,p11,6.576
16276,16277,1.0,2,16.0,8.02,0.392,0101000020E6100000992CEE3F32085DC07BBDFBE3BD644040,,California,United States,,32.787045,-116.128067,32,p11,6.272
16101,16102,0.8071,2,14.0,8.98,0.444,0101000020E610000079758E01D9085DC0FE47A643A75F4040,,California,United States,,32.747292,-116.138245,32,p11,6.216
15650,15651,0.9685,2,16.0,7.72,0.376,0101000020E6100000F08AE07F2B135DC0EC6987BF264F4040,,California,United States,,32.61837,-116.29953,32,p11,6.016
18752,18753,1.0,2,16.0,7.27,0.373,0101000020E6100000E65AB4006D0C5DC00890A16307934040,,California,United States,,33.148663,-116.194153,32,p11,5.968
15900,15901,0.8029,1,14.0,9.58,0.424,0101000020E61000004DF564FED1065DC09C8C2AC3B85B4040,,California,United States,,32.716576,-116.106567,32,p11,5.936
16096,16097,1.0,3,16.0,7.35,0.347,0101000020E6100000C02500FF94175DC0F2608BDD3E594040,,California,United States,,32.697231,-116.368469,32,p11,5.552
16187,16188,0.6795,2,12.0,8.62,0.459,0101000020E61000003B8F8AFF3B115DC05ED905836B5E4040,,California,United States,,32.737656,-116.269287,32,p11,5.508
18875,18876,0.9565,2,16.0,7.32,0.343,0101000020E61000009B560A815C265DC067B8019F1F8A4040,,California,United States,,33.07909,-116.599396,32,p11,5.488
15732,15733,1.0,3,16.0,7.06,0.337,0101000020E6100000ABCB290131165DC070D05E7D3C504040,,California,United States,,32.626846,-116.346741,32,p11,5.392
18880,18881,0.9978,2,16.0,6.75,0.334,0101000020E61000006BF12900C60C5DC07590D78349954040,,California,United States,,33.166306,-116.199585,32,p11,5.344
16184,16185,0.6419,3,12.0,7.98,0.444,0101000020E6100000E884D04197165DC06667D13B155C4040,,California,United States,,32.719398,-116.352982,32,p11,5.328
18631,18632,0.714,2,12.0,8.22,0.435,0101000020E6100000E333D93F4F245DC056BB26A435864040,,California,United States,,33.048512,-116.567337,32,p11,5.22
16102,16103,0.7121,2,12.0,8.96,0.432,0101000020E61000009A5FCD0182075DC0473D44A33B604040,,California,United States,,32.75182,-116.11731,32,p11,5.184
18881,18882,0.9551,2,16.0,6.51,0.322,0101000020E6100000C85BAE7E6C0B5DC0F3C64961DE954040,,California,United States,,33.170849,-116.178497,32,p11,5.152
18494,18495,0.6973,2,12.0,8.15,0.424,0101000020E6100000713C9F01F5235DC0533D997FF4834040,,California,United States,,33.030899,-116.561829,32,p11,5.088
15731,15732,1.0,3,16.0,6.72,0.311,0101000020E6100000D3C1FA3F87175DC0C3499A3FA64F4040,,California,United States,,32.622261,-116.36763,32,p11,4.976
17168,17169,1.0,3,16.0,6.79,0.306,0101000020E6100000CDAFE600C11D5DC0C34659BF996E4040,,California,United States,,32.864067,-116.464905,32,p11,4.896
18750,18751,0.5795,3,10.0,8.1,0.486,0101000020E610000024D5777E51235DC0B131AF230E894040,,California,United States,,33.070744,-116.551849,32,p11,4.86
15648,15649,0.8378,3,14.0,7.07,0.343,0101000020E61000002635B401D8155DC0730F09DFFB4D4040,,California,United States,,32.609249,-116.341309,32,p11,4.802
15733,15734,0.6608,3,12.0,7.54,0.4,0101000020E610000001F73C7FDA145DC0B2D47ABFD1504040,,California,United States,,32.631401,-116.325836,32,p11,4.8
15649,15650,0.6609,3,12.0,7.43,0.39,0101000020E61000001781B1BE81145DC0B6132521914E4040,,California,United States,,32.613804,-116.320419,32,p11,4.68
18632,18633,0.5618,3,10.0,7.88,0.461,0101000020E610000016BD5301F7225DC07381CB63CD864040,,California,United States,,33.053143,-116.546326,32,p11,4.61
18496,18497,0.7963,2,14.0,6.59,0.329,0101000020E61000006FD921FE610A5DC0A017EE5C188F4040,,California,United States,,33.117931,-116.162231,32,p11,4.606
16275,16276,1.0,3,16.0,6.27,0.287,0101000020E61000009126DE019E195DC07F4B00FE295D4040,,California,United States,,32.727844,-116.400269,32,p11,4.592
15647,15648,0.8613,3,14.0,6.81,0.319,0101000020E61000004E2B85402E175DC00778D2C2654D4040,,California,United States,,32.604668,-116.362198,32,p11,4.466
16186,16187,0.5636,2,10.0,8.23,0.442,0101000020E61000007F8461C092125DC098F6CDFDD55D4040,,California,United States,,32.733093,-116.290207,32,p11,4.42
18989,18990,0.5047,2,10.0,7.91,0.419,0101000020E6100000DBF7A8BF5E255DC0F86F5E9CF88C4040,,California,United States,,33.101337,-116.583908,32,p11,4.19
18995,18996,0.8972,3,16.0,5.83,0.26,0101000020E6100000BD0166BE83125DC0E42D573F36954040,,California,United States,,33.165718,-116.289291,32,p11,4.16
18879,18880,0.5406,2,10.0,7.66,0.399,0101000020E610000091ED7C3F35165DC0105D50DF32914040,,California,United States,,33.134365,-116.347,32,p11,3.99
17283,17284,0.7184,3,12.0,6.92,0.331,0101000020E61000000A664CC11A1E5DC0C007AF5DDA704040,,California,United States,,32.881664,-116.470383,32,p11,3.972
18994,18995,0.8567,3,14.0,6.29,0.282,0101000020E61000002A560DC2DC135DC0AED7F4A0A0944040,,California,United States,,33.161152,-116.310349,32,p11,3.948
